"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6874.70161670776","6447.17103627154","6494.68628543022","6753.23643887802","7186.38474344069","7769.4805371745","8284.48667246661","8674.38330320124","9063.42773897938","9373.71811291633","9997.42884405769","10802.1746385505","11593.4137700511","12330.551912285","13462.8289824789","14283.3247663236","15884.5021526424","17631.254425801","19519.3996922628","19520.5858996035","20755.3342737227","22156.8878438954","22944.3826270523","23960.539540174","25036.969527098","26135.2725484026","27139.7262573295","",
"Switzerland","CHE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27523.764398118","27829.4245956201","28139.4114487796","28511.7833485596","29254.1435922995","29808.0434431341","30499.9284501683","31799.7453580297","32877.5860461225","33810.7709650979","35675.0945314876","36862.1129358419","37682.1394697989","37611.5184239042","39135.8266891789","40457.7308617197","44951.6286562227","49467.2205543878","52317.5705429494","51632.6535918402","52935.8041360887","55918.732834321","57590.7011831417","59788.1893061201","61227.9408693746","62499.6371581513","62881.4605141831","",
"Channel Islands","CHI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4589.10839980802","5037.37214083093","5723.36936382925","6235.1547104268","6698.1365571664","7500.06764523077","8174.9737584327","8761.5044665976","9094.34546516106","9052.15481679857","9608.17713576582","10001.1780385066","10297.9780869255","10771.2474805153","11777.1330504661","12774.7312248309","15611.1082142356","16862.9240664157","16422.8663339121","16267.4619292718","18356.7762179634","20437.704525923","21620.2809667472","22578.7289196522","23082.334539285","23579.4622742938","23960.2701492985","",
"China","CHN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","986.568444391292","1099.05230396992","1268.27170757736","1461.61044744101","1668.5807571636","1869.46644952949","2070.77175197248","2277.20700886408","2458.63083103944","2664.48521541889","2933.31501968497","3226.84867956533","3551.66389747273","3961.27416681397","4455.20532967122","5092.56018928085","5883.71978401087","6863.98222925171","7635.07313882793","8374.43285013056","9333.12488218956","10384.367316917","11351.0628424977","12367.9658643131","13439.9076421277","14448.2656184581","15534.7019443305","",
"Cote d'Ivoire","CIV","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2064.23166352787","2059.56522095372","2029.04305290696","2003.35458369663","1995.08861010995","2113.22615745278","2247.87378229769","2302.72014216838","2375.0465599391","2387.90845185766","2336.35692095684","2342.85499642351","2295.19139940123","2268.27229211947","2317.61436177941","2388.43219498255","2450.59677799087","2508.37389933617","2567.19074324489","2612.06386869209","2635.83777138699","2511.42019511915","2762.34142570319","2980.26505984223","3217.63437898006","3461.60380991488","3719.62456208817","",
"Cameroon","CMR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1843.49885011014","1779.82013127389","1714.46205606831","1571.70142933439","1594.43434591481","1650.6493471291","1718.47112707282","1794.90281701098","1856.27021667526","1912.73068593313","1986.88862491601","2070.00889372542","2129.92365682065","2201.26351037012","2283.93895621184","2347.65906255714","2430.98968789716","2507.47922653552","2559.22366164651","2557.39074537477","2601.22829735359","2690.76505521683","2789.68367889069","2913.17323853476","3058.57457812005","3184.81054163084","3285.73159872911","",
"Congo, Dem. Rep.","COD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","827.600330402252","754.782482590742","664.448873357432","566.087071157879","535.720278509118","533.218253337197","522.636140865822","489.592699106425","475.897495067878","451.884303986381","419.463913592424","408.574400444067","414.722773266483","433.079475306457","460.247641423181","488.388086946654","513.37969086873","542.061728658384","568.083477865221","569.535006308888","597.076987349427","629.856388836565","664.801780089217","708.959621464787","764.481099113777","799.076703882725","800.751565355939","",
"Congo, Rep.","COG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3322.42159504868","3420.88394267278","3493.75797257738","3446.26216364937","3235.86987249259","3340.81831928587","3449.22576043003","3388.37016679303","3452.94071184133","3319.54849586624","3551.09349960406","3667.70920787905","3790.19574973187","3791.13071104983","3915.74174541772","4223.07536693416","4474.88117931201","4369.05333361691","4543.92730881413","4760.44417857162","5081.43434243558","5213.94693708389","5368.26697542475","5502.48419113775","5833.76477220601","5901.68260196761","5718.78884125564","",
"Colombia","COL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4869.16184672328","5050.71983033459","5327.88550322505","5485.49956628294","5827.99696183084","6155.68886127621","6294.86549854465","6520.03666603708","6528.90017378781","6256.81018104118","6585.33413813744","6750.68713876565","6927.32125259077","7241.33125833067","7732.31947622413","8248.35534178596","8957.34111756549","9710.91759594356","10132.2656612857","10260.2266790265","10680.0030066548","11496.4777054381","12058.3437579632","12725.0437311283","13394.9473586872","13825.9212560229","14157.6340396331","",
