iso3	country	area	dis_int	landlocked	continent	maincity	citynum	langoff_1	langoff_2	langoff_3	lang20_1	lang20_2	lang20_3	lang20_4	lang9_1	lang9_2	lang9_3	lang9_4	colonizer1	colonizer2	colonizer3	colonizer4	short_colonizer1	short_colonizer2	short_colonizer3
HND	Honduras	112088	125.9254	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
HRV	Croatia	56538	89.43428	0	Europe	1	25	Serbo-Croatian	.	.	Serbo-Croatian	.	.	.	.	.	.	.	AUT	.	.	.	YUG	HUN	.
HTI	Haiti	27750	62.65638	0	America	1	25	French	.	.	Haitian Creole French	.	.	.	.	.	.	.	.	.	.	.	FRA	ESP	.
HUN	Hungary	93032	114.7229	1	Europe	1	25	Hungarian	.	.	Hungarian	.	.	.	.	.	.	.	.	.	.	.	.	.	.
IDN	Indonesia	1933658	523.0264	0	Asia	1	25	Indonesian	.	.	Indonesian	Malay	Javanese	.	Sunda	.	.	.	NLD	.	.	.	.	.	.
IND	India	3287590	681.9816	0	Asia	1	25	English	Hindi	.	Hindi	English	.	.	Marathi	Telugu	Bengali	.	GBR	.	.	.	.	.	.
IRL	Ireland	70285	99.71606	0	Europe	1	25	English	.	.	English	Irish	.	.	.	.	.	.	GBR	.	.	.	.	.	.
IRN	Iran	1648100	482.8648	0	Asia	1	25	Persian	.	.	Persian	Azeri	.	.	.	.	.	.	.	.	.	.	.	.	.
IRQ	Iraq	437072	248.6625	0	Asia	1	25	Arabic	.	.	Arabic	Kurdish	.	.	.	.	.	.	TUR	.	.	.	GBR	.	.
ISL	Iceland	102819	120.6064	0	Europe	1	25	Icelandic	.	.	Icelandic	.	.	.	.	.	.	.	DNK	.	.	.	.	.	.
ISR	Israel	21621	55.30593	0	Asia	1	25	Hebrew	English	.	Hebrew	Arabic	English	French	Russian	.	.	.	GBR	TUR	.	.	POL	.	.
JAM	Jamaica	10991	39.43233	0	America	1	25	English	.	.	English	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
JOR	Jordan	91862	113.9992	0	Asia	1	25	Arabic	.	.	Arabic	English	.	.	.	.	.	.	GBR	.	.	.	.	.	.
JPN	Japan	377801	231.188	0	Asia	1	25	Japanese	.	.	Japanese	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KAZ	Kazakstan	2717300	620.0156	1	Asia	0	25	Kazakh	Russian	.	Kazakh	Russian	.	.	.	.	.	.	RUS	.	.	.	.	.	.
KAZ	Kazakstan	2717300	620.0156	1	Asia	1	25	Kazakh	Russian	.	Kazakh	Russian	.	.	.	.	.	.	RUS	.	.	.	.	.	.
KEN	Kenya	582646	287.102	0	Africa	1	25	English	Swahili	.	English	Swahili	Gikuyu	.	Luo	Luyia	Kalenjin	Kamba	GBR	.	.	.	.	.	.
KGZ	Kyrgyzstan	198500	167.5769	1	Asia	1	25	Kyrgyz	Russian	.	Kyrgyz	Russian	.	.	.	.	.	.	RUS	.	.	.	.	.	.
KHM	Cambodia	181035	160.035	0	Asia	1	24	Khmer	.	.	Khmer	.	.	.	.	.	.	.	FRA	.	.	.	.	.	.
KIR	Kiribati	717	10.07148	0	Pacific	1	25	English	.	.	English	I-Kiribati	.	.	.	.	.	.	GBR	.	.	.	.	.	.
KNA	Saint Kitts and Nevis	269	6.168931	0	America	1	17	English	.	.	English	Leeward Caribbean Creole English	.	.	.	.	.	.	GBR	.	.	.	.	.	.
KOR	Korea	99484	118.6343	0	Asia	1	25	Korean	.	.	Korean	English	.	.	.	.	.	.	JPN	.	.	.	.	.	.
KWT	Kuwait	17818	50.20689	0	Asia	1	25	Arabic	.	.	Arabic	English	.	.	.	.	.	.	GBR	.	.	.	.	.	.
LAO	Lao People's Democratic Republic	236800	183.031	1	Asia	1	23	Lao	.	.	Thai	.	.	.	Khmu	.	.	.	FRA	.	.	.	.	.	.
LBN	Lebanon	10452	38.45329	0	Asia	1	19	Arabic	French	.	Arabic	French	English	.	.	.	.	.	FRA	.	.	.	.	.	.
LBR	Liberia	111369	125.5209	0	Africa	1	18	English	.	.	English	.	.	.	Bassa	Kpelle	.	.	FRA	.	.	.	.	.	.
LBY	Libyan Arab Jamahiriya	1759540	498.9228	0	Africa	1	25	Arabic	.	.	Arabic	.	.	.	.	.	.	.	TUR	ITA	.	.	.	.	.
LCA	Saint Lucia	617	9.342786	0	America	1	12	English	.	.	English	Lesser Antillean Creole French	.	.	.	.	.	.	GBR	.	.	.	.	.	.
LKA	Sri Lanka	65610	96.3427	0	Asia	1	25	Sinhala	.	.	Sinhala	.	.	.	Tamil	.	.	.	GBR	.	.	.	NLD	.	.
LSO	Lesotho	30355	65.53132	1	Africa	1	11	English	Sesotho	.	English	Sesotho	.	.	.	.	.	.	GBR	.	.	.	.	.	.
LTU	Lithuania	65300	96.11483	0	Europe	1	25	Lithuanian	.	.	Lithuanian	.	.	.	.	.	.	.	RUS	.	.	.	.	.	.
LUX	Luxembourg	2586	19.12705	1	Europe	1	25	French	German	Luxembourgish	Luxembourgish	.	.	.	.	.	.	.	NLD	.	.	.	.	.	.
LVA	Latvia	64589	95.59013	0	Europe	1	25	Latvian	.	.	Latvian	.	.	.	.	.	.	.	RUS	.	.	.	SWE	.	.
MAR	Morocco	710850	317.1194	0	Africa	1	25	Arabic	French	.	Arabic	French	.	.	Tachelhit	Tamazghit	.	.	FRA	.	.	.	.	.	.
MDA	Moldova, Rep.of	33700	69.04763	0	Europe	1	25	Romanian	.	.	Romanian	.	.	.	Bulgarian	.	.	.	RUS	.	.	.	.	.	.
MDG	Madagascar	587041	288.1828	0	Africa	1	25	French	.	.	Malagasy	French	.	.	.	.	.	.	FRA	.	.	.	.	.	.
MDV	Maldives	298	6.492948	0	Asia	1	25	Maldivian	.	.	Maldivian	.	.	.	.	.	.	.	GBR	.	.	.	.	.	.
MEX	Mexico	1967210	527.5446	0	America	1	25	Spanish	.	.	Spanish	.	.	.	.	.	.	.	ESP	.	.	.	.	.	.
MHL	Marshall Islands	181	5.060263	0	Pacific	1	3	English	.	.	English	Marshallese	.	.	.	.	.	.	.	.	.	.	.	.	.
MKD	Macedonia (the former Yugoslav Rep. of)	25713	60.3129	1	Europe	1	25	Macedonian	.	.	Macedonian	.	.	.	Albanian	.	.	.	TUR	.	.	.	YUG	.	.
MLI	Mali	1240142	418.8606	1	Africa	1	25	French	.	.	Bambara	.	.	.	Fulfulde	Senoufo	.	.	FRA	.	.	.	.	.	.
MLT	Malta	316	6.686169	0	Europe	1	25	English	.	.	Maltese	English	.	.	.	.	.	.	GBR	.	.	.	.	.	.
MMR	Burma	678500	309.8195	0	Asia	1	25	Burmese	.	.	Burmese	.	.	.	.	.	.	.	GBR	.	.	.	IND	.	.
MNG	Mongolia	1565500	470.6091	1	Asia	1	25	Mongolian	.	.	Mongolian	.	.	.	.	.	.	.	CHN	.	.	.	.	.	.
MOZ	Mozambique	801590	336.7518	0	Africa	1	25	Portuguese	.	.	Macua	Portuguese	.	.	Tsonga	.	.	.	PRT	.	.	.	.	.	.
