Indicator	iso3	Year	Value	Flag
SP_POP_GROW	DMA	2014	0.46555	
SP_POP_GROW	DMA	2015	0.46752	
SP_POP_GROW	DOM	2003	1.52219	
SP_POP_GROW	DOM	2004	1.49679	
SP_POP_GROW	DOM	2005	1.46746	
SP_POP_GROW	DOM	2006	1.4377	
SP_POP_GROW	DOM	2007	1.4092799999999999	
SP_POP_GROW	DOM	2008	1.38089	
SP_POP_GROW	DOM	2009	1.3527799999999999	
SP_POP_GROW	DOM	2010	1.3246200000000001	
SP_POP_GROW	DOM	2011	1.29644	
SP_POP_GROW	DOM	2012	1.2674299999999998	
SP_POP_GROW	DOM	2013	1.23675	
SP_POP_GROW	DOM	2014	1.20399	
SP_POP_GROW	DOM	2015	1.16984	
SP_POP_GROW	ECU	2003	1.6505	
SP_POP_GROW	ECU	2004	1.64221	
SP_POP_GROW	ECU	2005	1.65603	
SP_POP_GROW	ECU	2006	1.6768299999999998	
SP_POP_GROW	ECU	2007	1.6895200000000001	
SP_POP_GROW	ECU	2008	1.69006	
SP_POP_GROW	ECU	2009	1.6727900000000002	
SP_POP_GROW	ECU	2010	1.64307	
SP_POP_GROW	ECU	2011	1.61127	
SP_POP_GROW	ECU	2012	1.5832899999999999	
SP_POP_GROW	ECU	2013	1.5561	
SP_POP_GROW	ECU	2014	1.5309	
SP_POP_GROW	ECU	2015	1.50685	
SP_POP_GROW	EGY	2003	1.8706200000000002	
SP_POP_GROW	EGY	2004	1.8492099999999998	
SP_POP_GROW	EGY	2005	1.81244	
SP_POP_GROW	EGY	2006	1.7619799999999999	
SP_POP_GROW	EGY	2007	1.7300200000000001	
SP_POP_GROW	EGY	2008	1.75095	
SP_POP_GROW	EGY	2009	1.8396400000000002	
SP_POP_GROW	EGY	2010	1.9677099999999998	
SP_POP_GROW	EGY	2011	2.10664	
SP_POP_GROW	EGY	2012	2.2111099999999997	
SP_POP_GROW	EGY	2013	2.25433	
SP_POP_GROW	EGY	2014	2.21886	
SP_POP_GROW	EGY	2015	2.12989	
SP_POP_GROW	SLV	2003	0.45227	
SP_POP_GROW	SLV	2004	0.40859	
SP_POP_GROW	SLV	2005	0.37258	
SP_POP_GROW	SLV	2006	0.34159	
SP_POP_GROW	SLV	2007	0.31551	
SP_POP_GROW	SLV	2008	0.29665	
SP_POP_GROW	SLV	2009	0.28554	
SP_POP_GROW	SLV	2010	0.2809	
SP_POP_GROW	SLV	2011	0.27952	
SP_POP_GROW	SLV	2012	0.28076999999999996	
SP_POP_GROW	SLV	2013	0.28631999999999996	
SP_POP_GROW	SLV	2014	0.29616	
SP_POP_GROW	SLV	2015	0.30859000000000003	
SP_POP_GROW	GNQ	2003	3.31066	
SP_POP_GROW	GNQ	2004	3.25753	
SP_POP_GROW	GNQ	2005	3.19247	
SP_POP_GROW	GNQ	2006	3.1226599999999998	
SP_POP_GROW	GNQ	2007	3.0623400000000003	
SP_POP_GROW	GNQ	2008	3.02163	
SP_POP_GROW	GNQ	2009	3.0047200000000003	
SP_POP_GROW	GNQ	2010	3.0026	
SP_POP_GROW	GNQ	2011	3.0020599999999997	
SP_POP_GROW	GNQ	2012	2.9925200000000003	
SP_POP_GROW	GNQ	2013	2.97359	
SP_POP_GROW	GNQ	2014	2.94255	
SP_POP_GROW	GNQ	2015	2.90246	
SP_POP_GROW	ERI	2003	3.6255599999999997	
SP_POP_GROW	ERI	2004	3.4169199999999997	
SP_POP_GROW	ERI	2005	3.06011	
SP_POP_GROW	ERI	2006	2.66425	
SP_POP_GROW	ERI	2007	2.33881	
SP_POP_GROW	ERI	2008	2.11841	
SP_POP_GROW	ERI	2009	2.04338	
SP_POP_GROW	ERI	2010	2.0708	
SP_POP_GROW	ERI	2011	2.10793	
SP_POP_GROW	EST	2003	-0.62762	
SP_POP_GROW	EST	2004	-0.59782	
SP_POP_GROW	EST	2005	-0.57226	
SP_POP_GROW	EST	2006	-0.5896600000000001	
SP_POP_GROW	EST	2007	-0.45619	
SP_POP_GROW	EST	2008	-0.26813000000000003	
SP_POP_GROW	EST	2009	-0.19277	
SP_POP_GROW	EST	2010	-0.22805999999999998	
SP_POP_GROW	EST	2011	-0.30358	
SP_POP_GROW	EST	2012	-0.35794000000000004	
SP_POP_GROW	EST	2013	-0.35589	
SP_POP_GROW	EST	2014	-0.26226	
SP_POP_GROW	EST	2015	-0.19394	
SP_POP_GROW	ETH	2003	2.8584400000000003	
SP_POP_GROW	ETH	2004	2.82405	
SP_POP_GROW	ETH	2005	2.7814400000000004	
SP_POP_GROW	ETH	2006	2.7389200000000002	
SP_POP_GROW	ETH	2007	2.70182	
SP_POP_GROW	ETH	2008	2.66847	
SP_POP_GROW	ETH	2009	2.63998	
SP_POP_GROW	ETH	2010	2.61459	
SP_POP_GROW	ETH	2011	2.58934	
SP_POP_GROW	ETH	2012	2.56264	
SP_POP_GROW	ETH	2013	2.53526	
SP_POP_GROW	ETH	2014	2.5068099999999998	
SP_POP_GROW	ETH	2015	2.47736	
SP_POP_GROW	FJI	2003	0.11456	
SP_POP_GROW	FJI	2004	0.2115	
SP_POP_GROW	FJI	2005	0.42252	
SP_POP_GROW	FJI	2006	0.67548	
SP_POP_GROW	FJI	2007	0.8831	
SP_POP_GROW	FJI	2008	1.01042	
SP_POP_GROW	FJI	2009	1.02039	
SP_POP_GROW	FJI	2010	0.94614	
SP_POP_GROW	FJI	2011	0.85395	
SP_POP_GROW	FJI	2012	0.78451	
SP_POP_GROW	FJI	2013	0.7214	
SP_POP_GROW	FJI	2014	0.67496	
SP_POP_GROW	FJI	2015	0.6404	
SP_POP_GROW	GAB	2003	2.21703	
SP_POP_GROW	GAB	2004	2.20828	
SP_POP_GROW	GAB	2005	2.22025	
SP_POP_GROW	GAB	2006	2.23521	
SP_POP_GROW	GAB	2007	2.24459	
SP_POP_GROW	GAB	2008	2.2534799999999997	
SP_POP_GROW	GAB	2009	2.26008	
SP_POP_GROW	GAB	2010	2.2633900000000002	
SP_POP_GROW	GAB	2011	2.26745	
SP_POP_GROW	GAB	2012	2.26857	
SP_POP_GROW	GAB	2013	2.2589099999999998	
SP_POP_GROW	GAB	2014	2.23627	
SP_POP_GROW	GAB	2015	2.20457	
SP_POP_GROW	GMB	2003	3.21101	
SP_POP_GROW	GMB	2004	3.23386	
SP_POP_GROW	GMB	2005	3.23207	
SP_POP_GROW	GMB	2006	3.22327	
SP_POP_GROW	GMB	2007	3.22055	
SP_POP_GROW	GMB	2008	3.22296	
SP_POP_GROW	GMB	2009	3.23374	
SP_POP_GROW	GMB	2010	3.2478599999999997	
SP_POP_GROW	GMB	2011	3.25975	
SP_POP_GROW	GMB	2012	3.2627	
