Indicator	iso3	Time	Value	Flag
XGOVEXP_IMF_1	PAN	2004	5.02877	
XGOVEXP_IMF_1	PAN	2007	6.80554	
XGOVEXP_IMF_1	PAN	2011	3.05586	
XGOVEXP_IMF	SAU	1999	23.3294	
XGOVEXP_IMF	SAU	2000	17.83659	
XGOVEXP_IMF	SAU	2001	20.89614	
XGOVEXP_IMF	SAU	2002	21.29412	
XGOVEXP_IMF	SAU	2003	21.45522	
XGOVEXP_IMF	SAU	2004	20.18866	
XGOVEXP_IMF	SAU	2005	19.29229	
XGOVEXP_IMF	SAU	2006	21.60387	
XGOVEXP_IMF	SAU	2008	19.25742	
XGOVEXP_IMF_3	THA	2000	3.3974900000000003	
XGOVEXP_IMF_3	THA	2001	2.92245	
XGOVEXP_IMF_3	THA	2010	2.0220700000000003	
XGOVEXP_IMF_3	THA	2011	1.93872	
XGOVEXP_IMF_3	THA	2012	2.43056	
XGOVEXP_IMF_3	THA	2013	2.0307	
XGOVEXP_IMF_1	CYP	1999	4.34312	
XGOVEXP_IMF_1	CYP	2000	3.9337	
XGOVEXP_IMF_1	CYP	2001	4.4629699999999985	
XGOVEXP_IMF_1	CYP	2002	4.42045	
XGOVEXP_IMF_1	CYP	2003	4.6155599999999986	
XGOVEXP_IMF_1	CYP	2004	4.35505	
XGOVEXP_IMF_1	CYP	2005	4.32494	
XGOVEXP_IMF_1	CYP	2006	4.49632	
XGOVEXP_IMF_1	CYP	2007	4.7067	
XGOVEXP_IMF_1	CYP	2008	4.88684	
XGOVEXP_IMF_1	CYP	2009	4.76478	
XGOVEXP_IMF_1	CYP	2010	4.87906	
XGOVEXP_IMF_1	CYP	2011	4.88045	
XGOVEXP_IMF_1	CYP	2013	4.70378	
XGOVEXP_IMF_1	CYP	2014	5.0979800000000015	
XGOVEXP_IMF_2T3	PHL	2000	3.31595	
XGOVEXP_IMF_2T3	PHL	2001	3.0506900000000003	
XGOVEXP_IMF_2T3	PHL	2002	3.12522	
XGOVEXP_IMF_2T3	PHL	2003	3.52895	
XGOVEXP_IMF_2T3	PHL	2004	3.2943	
XGOVEXP_IMF_2T3	PHL	2005	3.32819	
XGOVEXP_IMF_2T3	PHL	2007	3.38573	
XGOVEXP_IMF_2T3	PHL	2008	3.67029	
XGOVEXP_IMF_2T3	PHL	2009	3.92288	
XGOVEXP_IMF_1	AUT	1999	2.17982	
XGOVEXP_IMF_1	AUT	2000	2.07012	
XGOVEXP_IMF_1	AUT	2001	2.05841	
XGOVEXP_IMF_1	AUT	2002	2.05582	
XGOVEXP_IMF_1	AUT	2003	1.99725	
XGOVEXP_IMF_1	AUT	2004	1.9421	
XGOVEXP_IMF_1	AUT	2005	1.87275	
XGOVEXP_IMF_1	AUT	2006	1.85483	
XGOVEXP_IMF_1	AUT	2007	1.80568	
XGOVEXP_IMF_1	AUT	2008	1.81028	
XGOVEXP_IMF_1	AUT	2009	1.85729	
XGOVEXP_IMF_1	AUT	2010	1.85952	
XGOVEXP_IMF_1	AUT	2011	1.89046	
XGOVEXP_IMF_1	AUT	2012	1.66908	
XGOVEXP_IMF_1	AUT	2013	1.7854	
XGOVEXP_IMF_1	AUT	2014	1.70842	
